

************************  606.png  第3933张  ************************


第1次扫线:

扫线最远行 = 1
左边线 = [1][143]    右边线 = [1][180]
左边线 = [2][143]    右边线 = [2][181]
左边线 = [3][144]    右边线 = [3][182]
左边线 = [4][144]    右边线 = [4][183]
左边线 = [5][144]    右边线 = [5][184]
左边线 = [6][144]    右边线 = [6][185]
左边线 = [7][145]    右边线 = [7][185]
左边线 = [8][145]    右边线 = [8][185]
左边线 = [9][145]    右边线 = [9][185]
左边线 = [10][144]    右边线 = [10][185]
左边线 = [11][142]    右边线 = [11][185]
左边线 = [12][141]    右边线 = [12][185]
左边线 = [13][140]    右边线 = [13][185]
左边线 = [14][139]    右边线 = [14][185]
左边线 = [15][138]    右边线 = [15][185]
左边线 = [16][138]    右边线 = [16][185]
左边线 = [17][137]    右边线 = [17][185]
左边线 = [18][136]    右边线 = [18][185]
左边线 = [19][135]    右边线 = [19][185]
左边线 = [20][134]    右边线 = [20][185]
左边线 = [21][133]    右边线 = [21][185]
左边线 = [22][134]    右边线 = [22][185]
左边线 = [23][135]    右边线 = [23][185]
左边线 = [24][148]    右边线 = [24][185]
左边线 = [25][149]    右边线 = [25][185]
左边线 = [26][149]    右边线 = [26][185]
左边线 = [27][149]    右边线 = [27][185]
左边线 = [28][149]    右边线 = [28][185]
左边线 = [29][150]    右边线 = [29][185]
左边线 = [30][150]    右边线 = [30][185]
左边线 = [31][150]    右边线 = [31][185]
左边线 = [32][150]    右边线 = [32][185]
左边线 = [33][151]    右边线 = [33][185]
左边线 = [34][151]    右边线 = [34][185]
左边线 = [35][151]    右边线 = [35][185]
左边线 = [36][151]    右边线 = [36][185]
左边线 = [37][152]    右边线 = [37][185]
左边线 = [38][152]    右边线 = [38][185]
左边线 = [39][152]    右边线 = [39][185]
左边线 = [40][152]    右边线 = [40][185]
左边线 = [41][153]    右边线 = [41][185]
左边线 = [42][153]    右边线 = [42][185]
左边线 = [43][153]    右边线 = [43][185]
左边线 = [44][153]    右边线 = [44][185]
左边线 = [45][154]    右边线 = [45][185]
左边线 = [46][154]    右边线 = [46][185]
左边线 = [47][154]    右边线 = [47][185]
左边线 = [48][154]    右边线 = [48][185]
左边线 = [49][154]    右边线 = [49][185]
左边线 = [50][155]    右边线 = [50][185]
左边线 = [51][155]    右边线 = [51][185]
左边线 = [52][155]    右边线 = [52][185]
左边线 = [53][155]    右边线 = [53][185]
左边线 = [54][156]    右边线 = [54][185]
左边线 = [55][156]    右边线 = [55][185]
左边线 = [56][156]    右边线 = [56][185]
左边线 = [57][157]    右边线 = [57][185]
左边线 = [58][157]    右边线 = [58][185]
左边线 = [59][157]    右边线 = [59][185]
左边线 = [60][158]    右边线 = [60][185]
左边线 = [61][158]    右边线 = [61][185]
左边线 = [62][158]    右边线 = [62][185]
左边线 = [63][158]    右边线 = [63][185]
左边线 = [64][159]    右边线 = [64][185]
左边线 = [65][159]    右边线 = [65][185]
左边线 = [66][159]    右边线 = [66][185]
左边线 = [67][159]    右边线 = [67][185]
左边线 = [68][159]    右边线 = [68][185]
左边线 = [69][160]    右边线 = [69][185]
左丢线行数 = 0
右丢线行数 = 65
↖未找到            未找到↗
↙未找到            未找到↘
未发现十字
未发现斜十字
当前图像结束处理

